State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,,,,,,,,,,,,,
,Cameron University6,,"5,750",1,0,1,0,0,6,1,5,0,0
,East Central University,,"4,491",1,0,1,0,0,17,2,14,1,0
,Eastern Oklahoma State College,,"1,977",0,0,0,0,0,4,2,2,0,0
,Langston University,,"2,598",7,0,4,0,3,61,25,34,2,1
,Mid-America Christian University,,"2,618",0,0,0,0,0,5,2,3,0,0
,Northeastern Oklahoma A&M College,,"2,663",2,0,1,0,1,32,16,15,1,0
,Northeastern State University,Tahlequah,"9,269",3,0,2,0,1,20,6,13,1,0
,Northwestern Oklahoma State University,,"2,456",0,0,0,0,0,1,0,0,1,0
,Oklahoma City Community College,,"17,875",1,0,0,0,1,11,1,10,0,0
,Oklahoma City University,,"3,247",0,0,0,0,0,36,5,27,4,0
,Oklahoma State University:,Main Campus,"27,791",7,0,6,0,1,145,11,132,2,0
,,Okmulgee,"3,290",1,0,1,0,0,8,0,8,0,0
,,Tulsa,"1,087",1,0,0,0,1,7,0,7,0,0
,Rogers State University,,"4,612",0,0,0,0,0,3,1,2,0,0
,Seminole State College,,"2,155",0,0,0,0,0,5,1,4,0,0
,Southeastern Oklahoma State University,,"5,039",0,0,0,0,0,20,6,11,3,0
,Southwestern Oklahoma State University,,"6,341",0,0,0,0,0,11,1,10,0,0
,Tulsa Community College,,"23,778",2,0,0,0,2,21,0,21,0,0
,University of Central Oklahoma,,"18,751",1,0,1,0,0,35,8,27,0,0
,University of Oklahoma:,Health Sciences Center,"3,695",4,0,0,1,3,102,4,95,3,0
,,Norman,"32,373",22,0,19,2,1,253,8,240,5,0
PENNSYLVANIA,Bloomsburg University,,"10,288",4,0,2,0,2,15,1,14,0,0
,Clarion University,,"6,125",0,0,0,0,0,15,2,13,0,0
,Edinboro University,,"6,573",1,0,0,0,1,13,1,12,0,0
,Kutztown University,,"8,997",7,0,7,0,0,29,1,28,0,0
,Lock Haven University,,"4,215",2,0,1,0,1,9,3,6,0,0
,Mansfield University,,"2,055",0,0,0,0,0,4,1,3,0,0
,Pennsylvania State University:,Abington,"4,576",2,0,1,0,1,3,0,3,0,0
,,Altoona,"3,690",4,0,3,0,1,21,5,16,0,0
,,Dubois,672,0,0,0,0,0,0,0,0,0,0
,,Fayette,719,0,0,0,0,0,0,0,0,0,0
,,Greater Allegheny,553,0,0,0,0,0,5,1,4,0,0
,,Mont Alto,"1,038",0,0,0,0,0,1,0,1,0,0
,,Wilkes-Barre,562,0,0,0,0,0,0,0,0,0,0
,,Worthington Scranton,"1,131",0,0,0,0,0,1,0,1,0,0
,Shippensburg University,,"7,345",5,0,5,0,0,21,4,17,0,0
,University of Pittsburgh,Bradford,"1,478",0,0,0,0,0,6,0,6,0,0
RHODE ISLAND,Brown University,,"10,694",0,0,0,0,0,132,24,108,0,0
,University of Rhode Island,,"20,502",2,0,2,0,0,53,5,48,0,1
SOUTH CAROLINA,Bob Jones University,,"3,383",0,0,0,0,0,1,0,1,0,0
,Clemson University,,"27,796",6,0,6,0,0,165,8,134,23,1
,Coastal Carolina University,,"12,015",1,0,1,0,0,107,14,92,1,0
,College of Charleston,,"13,258",1,0,0,1,0,44,0,44,0,0
,Denmark Technical College,,863,0,0,0,0,0,0,0,0,0,0
,Erskine College,,883,0,0,0,0,0,0,0,0,0,0
,Francis Marion University,,"4,384",0,0,0,0,0,9,0,9,0,0
,Greenville Technical College,,"15,700",2,0,0,1,1,21,4,16,1,0
,Medical University of South Carolina,,"3,421",5,0,1,1,3,114,2,109,3,0
,Midlands Technical College,,"14,571",0,0,0,0,0,3,0,3,0,0
,Orangeburg-Calhoun Technical College,,"3,324",0,0,0,0,0,1,0,0,1,0
,South Carolina State University,,"3,205",6,0,1,1,4,42,3,37,2,0
,The Citadel,,"4,305",0,0,0,0,0,49,5,44,0,0
,University of South Carolina:,Aiken,"4,281",0,0,0,0,0,4,0,3,1,0
,,Columbia,"37,348",5,0,4,1,0,214,13,184,17,0
,,Upstate,"7,147",2,0,2,0,0,30,2,25,3,0
,Winthrop University,,"7,009",2,0,2,0,0,23,2,21,0,0
SOUTH DAKOTA,South Dakota State University,,"15,244",2,0,1,1,0,21,0,20,1,0
TENNESSEE,Austin Peay State University,,"12,156",5,1,2,0,2,28,6,17,5,0
,Chattanooga State Community College,,"10,770",5,0,0,0,5,4,0,4,0,0
,Cleveland State Community College,,"3,883",0,0,0,0,0,5,1,3,1,0
,Columbia State Community College,,"7,703",0,0,0,0,0,0,0,0,0,0
,East Tennessee State University,,"16,151",9,0,7,0,2,75,1,72,2,1
,Jackson State Community College,,"6,263",1,0,1,0,0,4,0,4,0,0
,Lincoln Memorial University,,"5,118",1,0,0,0,1,7,1,6,0,0
,Middle Tennessee State University,,"25,602",6,0,3,0,3,78,2,73,3,0
,Motlow State Community College,,"8,014",0,0,0,0,0,3,1,2,0,0
,Nashville State Community College,,"11,197",0,0,0,0,0,0,0,0,0,0
,Northeast State Community College,,"7,407",0,0,0,0,0,4,1,3,0,0
,Pellissippi State Community College,,"15,428",0,0,0,0,0,20,0,18,2,0
,Roane State Community College,,"7,014",0,0,0,0,0,4,2,2,0,0
,Southwest Tennessee Community College,,"12,720",0,0,0,0,0,7,0,7,0,0
,Tennessee State University,,"11,251",9,0,3,2,4,60,2,58,0,0
,Tennessee Technological University,,"11,451",0,0,0,0,0,59,4,55,0,0
,University of Memphis,,"24,847",7,0,2,0,5,132,14,110,8,1
,University of Tennessee:,Chattanooga,"12,766",11,0,2,1,8,140,19,117,4,0
,,Health Science Center,"3,355",0,0,0,0,0,20,2,18,0,0
,,Knoxville,"30,845",6,0,2,1,3,138,15,102,21,0
,,Martin,"7,837",1,0,1,0,0,23,0,23,0,0
,University of the South,,"1,984",4,0,3,0,1,66,11,52,3,0
,Vanderbilt University,,"13,431",29,0,1,6,22,448,3,436,9,0
,Volunteer State Community College,,"11,419",0,0,0,0,0,9,0,9,0,0
,Walters State Community College,,"7,471",0,0,0,0,0,2,0,2,0,0
TEXAS,Abilene Christian University,,"5,709",1,0,1,0,0,88,13,70,5,0
,Alamo Colleges District,,"109,114",3,0,0,1,2,131,9,111,11,7
,Angelo State University,,"11,820",1,0,1,0,0,32,0,31,1,0
,Austin Community College District,,"62,493",1,0,1,0,0,117,6,80,31,1
,Baylor Health Care System5,,,8,0,1,5,2,403,10,361,32,0
,Baylor University,Waco,"18,261",4,0,2,0,2,144,13,129,2,1
,El Paso Community College,,"38,006",1,0,1,0,0,16,1,15,0,0
,Hardin-Simmons University,,"2,483",0,0,0,0,0,17,8,9,0,0
,Houston Community College,,"82,166",4,0,0,3,1,134,7,118,9,1
,Lamar University,Beaumont,"19,508",2,0,0,0,2,51,1,49,1,0
,Lubbock Christian University,,"2,217",0,0,0,0,0,4,2,2,0,0
,Prairie View A&M University,,"9,945",18,0,11,3,4,106,18,76,12,0
,Rice University,,"7,362",3,0,1,1,1,180,2,170,8,0
,Southern Methodist University,,"13,062",10,0,4,3,3,158,11,139,8,0
,Southwestern University6,,"1,430",0,0,0,0,0,14,2,12,0,0
,Stephen F. Austin State University,,"14,561",8,0,4,0,4,34,3,31,0,0
,St. Mary's University,,"3,926",4,0,2,0,2,32,2,29,1,0
,St. Thomas University,,"3,727",0,0,0,0,0,35,3,32,0,0
,Sul Ross State University,,"3,672",0,0,0,0,0,6,5,1,0,0
,Tarleton State University6,,"14,950",6,0,6,0,0,48,3,45,0,1
,Texas A&M International University,,"8,818",1,0,1,0,0,17,2,15,0,0
,Texas A&M University:,Central Texas,"3,319",0,0,0,0,0,1,0,0,1,0
,,College Station6,"72,775",11,0,5,3,3,413,33,351,29,0
,,Commerce,"15,596",4,0,3,0,1,74,6,68,0,0
,,Corpus Christi,"14,307",2,0,0,0,2,76,8,67,1,0
,,Galveston5,,0,0,0,0,0,14,0,14,0,0
,,San Antonio,"7,534",0,0,0,0,0,11,0,11,0,0
,Texas Christian University,,"11,044",2,0,0,1,1,76,7,64,5,0
,Texas Southern University,,"11,485",15,0,5,4,6,95,14,71,10,0
,Texas State Technical College:,Harlingen5,,1,0,1,0,0,3,0,3,0,0
,,"Waco5, 6",,6,1,3,2,0,50,12,35,3,0
,Texas State University,San Marcos6,"42,924",14,0,8,3,3,147,16,129,2,1
,Texas Tech University,Lubbock,"39,987",7,0,3,0,4,245,7,236,2,0
,Texas Woman's University,,"18,773",0,0,0,0,0,43,2,41,0,0
,Trinity Valley Community College,,"9,678",1,0,0,0,1,6,4,2,0,0
,University of Houston,Central Campus6,"51,371",23,0,9,9,5,464,50,393,21,0
,University of North Texas,Denton,"43,730",7,0,6,0,1,161,12,148,1,0
,University of Texas:,Arlington,"60,075",16,0,7,6,3,129,11,112,6,0
,,Austin6,"55,097",8,0,1,1,6,449,17,429,3,0
,,Dallas6,"30,572",6,0,4,0,2,124,7,115,2,0
,,El Paso,"29,598",5,0,1,0,4,84,14,68,2,1
,,"Health Science Center, San Antonio","3,960",0,0,0,0,0,21,1,19,1,0
,,"Health Science Center, Tyler",59,1,0,0,0,1,7,0,7,0,0
,,Houston,"6,948",8,0,5,3,0,293,9,279,5,0
,,Medical Branch,"4,189",6,0,1,0,5,74,0,66,8,1
,,Permian Basin,"9,651",0,0,0,0,0,30,14,15,1,0
,,Rio Grande Valley,"33,012",2,0,2,0,0,64,3,61,0,0
,,San Antonio,"34,473",10,0,4,0,6,102,3,95,4,0
,,Southwestern Medical School,"2,506",1,0,0,0,1,228,5,219,4,0
,West Texas A&M University,,"11,753",2,0,1,0,1,33,3,28,2,0
UTAH,Brigham Young University,,"39,515",1,0,1,0,0,107,0,105,2,0
,Dixie State University,,"12,920",2,0,1,1,0,13,0,12,1,0
,University of Utah,,"38,229",5,0,1,0,4,353,20,314,19,
,Utah State University:,Eastern5,,2,0,2,0,0,8,0,7,1,0
,,Logan,"32,944",1,0,1,0,0,30,1,27,2,0
,Weber State University,,"35,447",0,0,0,0,0,17,0,16,1,0
VERMONT,University of Vermont,,"15,629",3,0,2,0,1,93,7,86,0,0
VIRGINIA,Bridgewater College,,"1,936",3,0,0,0,3,9,1,8,0,0
,College of William and Mary,,"9,805",0,0,0,0,0,80,11,69,0,0
,Eastern Virginia Medical School,,"1,376",1,0,0,1,0,36,0,36,0,0
,George Mason University,,"47,049",5,0,4,1,0,87,5,82,0,0
,Germanna Community College,,"9,077",0,0,0,0,0,4,0,4,0,0
,Hampton University,,"4,698",2,0,0,1,1,41,5,35,1,1
,James Madison University,,"24,133",2,0,2,0,0,89,5,84,0,0
,J. Sargeant Reynolds Community College,,"13,875",0,0,0,0,0,8,0,7,1,0
,Longwood University,,"5,909",2,0,0,0,2,27,0,27,0,0
,Lord Fairfax Community College,,"9,112",0,0,0,0,0,5,0,5,0,0
,Norfolk State University,,"5,855",8,0,4,4,0,79,12,64,3,0
,Northern Virginia Community College,,"73,657",0,0,0,0,0,30,0,30,0,0
,Old Dominion University,,"28,297",34,0,9,4,21,251,13,232,6,1
,Radford University,,"10,296",11,0,11,0,0,55,2,53,0,1
,Richard Bland College,,"2,882",1,0,1,0,0,19,2,17,0,0
,University of Mary Washington,,"5,373",3,0,2,0,1,34,0,34,0,0
,University of Richmond,,"4,740",4,0,4,0,0,84,12,71,1,2
,University of Virginia,,"28,244",19,0,9,2,8,180,8,166,6,0
,University of Virginia's College at Wise,,"3,325",0,0,0,0,0,12,1,11,0,0
,Virginia Commonwealth University,,"33,636",14,0,4,3,7,606,15,586,5,1
,Virginia Military Institute,,"1,769",3,0,3,0,0,18,2,16,0,0
,Virginia Polytechnic Institute and State University,,"36,115",5,0,2,1,2,195,11,182,2,0
,Virginia State University,,"5,156",4,0,3,0,1,41,4,35,2,0
,Virginia Western Community College,,"10,130",0,0,0,0,0,2,0,2,0,0
WASHINGTON,Central Washington University,,"17,638",0,0,0,0,0,93,5,87,1,0
,Eastern Washington University,,"16,208",0,0,0,0,0,38,4,32,2,0
,Evergreen State College,,"4,587",2,0,2,0,0,30,0,29,1,0
,University of Washington,,"55,508",18,0,2,3,13,616,68,540,8,0
,Washington State University:,Pullman,"34,356",8,0,7,0,1,47,5,41,1,0
,,Vancouver5,,0,0,0,0,0,0,0,0,0,0
,Western Washington University,,"17,782",3,0,1,1,1,89,3,85,1,1
WEST VIRGINIA,West Virginia University,Morgantown,"31,994",9,0,5,1,3,197,27,168,2,0
WISCONSIN,Marquette University,,"12,162",42,0,6,13,23,263,23,215,25,0
,University of Wisconsin:,Eau Claire6,"11,790",2,0,2,0,0,36,7,29,0,0
,,Green Bay,"8,534",1,0,1,0,0,16,0,16,0,0
,,La Crosse,"11,751",0,0,0,0,0,64,0,64,0,0
,,Milwaukee,"28,921",4,0,2,1,1,107,12,93,2,0
,,Oshkosh,"16,057",5,0,4,0,1,30,2,27,1,0
,,Parkside,"4,911",0,0,0,0,0,11,1,10,0,0
,,Platteville,"9,511",4,0,0,0,4,15,4,11,0,0
,,River Falls,"6,798",1,0,0,0,1,36,2,34,0,0
,,Stevens Point,"9,144",1,0,1,0,0,54,1,53,0,0
,,Superior,"3,168",0,0,0,0,0,16,0,16,0,0
,,Whitewater,"14,196",0,0,0,0,0,31,0,31,0,0
WYOMING,University of Wyoming,,"13,963",3,0,0,0,3,77,2,74,1,0
